_id,ota,information.latitude,information.longitude,information.city,information.postalCode,information.chainName
716383_CLEARTRIP,CLEARTRIP,32.242535,77.18828,Manali,175131,NA
716399_CLEARTRIP,CLEARTRIP,25.284822,83.00555,Varanasi,221005,NA
716417_CLEARTRIP,CLEARTRIP,15.586938,73.80578,Goa,403507,NA
716186_CLEARTRIP,CLEARTRIP,12.320619,76.62796,Mysore,570009,NA
716443_CLEARTRIP,CLEARTRIP,15.587471,73.759415,Goa,403509,NA
716464_CLEARTRIP,CLEARTRIP,27.159258,78.03202,Agra,282001,NA
716333_CLEARTRIP,CLEARTRIP,24.695429,84.974815,Bodhgaya,824231,NA
716344_CLEARTRIP,CLEARTRIP,24.59066,73.657745,Udaipur,313001,NA
716586_CLEARTRIP,CLEARTRIP,24.69638,84.98839,Bodhgaya,824231,NA
716617_CLEARTRIP,CLEARTRIP,24.580284,73.68253,Udaipur,313001,NA
716642_CLEARTRIP,CLEARTRIP,11.026532,76.99237,Coimbatore,641004,NA
716484_CLEARTRIP,CLEARTRIP,13.350922,74.787636,Manipal,576107,NA
716653_CLEARTRIP,CLEARTRIP,18.527143,73.84941,Pune,411005,NA
716692_CLEARTRIP,CLEARTRIP,24.098816,88.25761,Berhampur - West Bengal,742101,NA
716737_CLEARTRIP,CLEARTRIP,28.453838,77.082886,Gurgaon,122002,NA
716708_CLEARTRIP,CLEARTRIP,24.581646,73.68177,Udaipur,313001,NA
716592_CLEARTRIP,CLEARTRIP,26.927195,75.80784,Jaipur,302002,NA
716863_CLEARTRIP,CLEARTRIP,31.100178,77.175804,Shimla,171001,NA
716762_CLEARTRIP,CLEARTRIP,26.917772,75.79101,Jaipur,302006,NA
716870_CLEARTRIP,CLEARTRIP,10.239296,77.49634,Kodaikanal,624101,NA
716777_CLEARTRIP,CLEARTRIP,28.994553,79.3987,Rudrapur,244923,NA
716894_CLEARTRIP,CLEARTRIP,11.933161,75.57521,Kannur,670702,NA
716888_CLEARTRIP,CLEARTRIP,29.361723,79.541145,Bhimtal,263139,NA
716902_CLEARTRIP,CLEARTRIP,29.35951,79.55176,Bhimtal,263136,NA
