_id,ota,information.latitude,information.longitude,information.city,information.postalCode,information.chainName
00014421_TRAVELGURU,TRAVELGURU,18.45193,76.58187,LATUR,413515,--None--
00014440_TRAVELGURU,TRAVELGURU,26.27762,73.03319,JODHPUR,342001,--None--
00014445_TRAVELGURU,TRAVELGURU,25.314785,82.98904,VARANASI,221010,--None--
00014452_TRAVELGURU,TRAVELGURU,12.984595,77.6155,BANGALORE,560042,--None--
00014429_TRAVELGURU,TRAVELGURU,10.249637,77.49384,KODAIKANAL,624101,--None--
00014463_TRAVELGURU,TRAVELGURU,25.338285,82.97682,VARANASI,221002,--None--
00014457_TRAVELGURU,TRAVELGURU,10.246057,77.53131,KODAIKANAL,624104,--None--
00014467_TRAVELGURU,TRAVELGURU,10.598505,76.039925,GURUVAYOOR,680101,--None--
00014475_TRAVELGURU,TRAVELGURU,34.162598,77.57932,LEH,194101,--None--
00014471_TRAVELGURU,TRAVELGURU,18.528107,73.84107,PUNE,411016,--None--
00014425_TRAVELGURU,TRAVELGURU,25.32742,82.99016,VARANASI,221002,--None--
00014479_TRAVELGURU,TRAVELGURU,10.240858,77.4959,KODAIKANAL,624101,--None--
00014500_TRAVELGURU,TRAVELGURU,11.650146,76.21204,WAYANAD,673591,--None--
00014496_TRAVELGURU,TRAVELGURU,22.28968,70.8023,RAJKOT,360001,--None--
00014507_TRAVELGURU,TRAVELGURU,22.296152,70.79797,RAJKOT,360001,--None--
00014513_TRAVELGURU,TRAVELGURU,10.238113,77.48918,KODAIKANAL,624101,--None--
00014492_TRAVELGURU,TRAVELGURU,27.06,88.47,KALIMPONG,734101,--None--
00014487_TRAVELGURU,TRAVELGURU,26.01631,76.36136,RANTHAMBORE,322001,--None--
00014534_TRAVELGURU,TRAVELGURU,11.53537,76.20491,WAYANAD,673581,--None--
00014528_TRAVELGURU,TRAVELGURU,25.321745,83.00156,VARANASI,221001,--None--
00014538_TRAVELGURU,TRAVELGURU,12.589523,78.63859,YELAGIRI,635853,--None--
00014519_TRAVELGURU,TRAVELGURU,12.988496,77.547676,BANGALORE,560044,--None--
00014543_TRAVELGURU,TRAVELGURU,25.293245,83.00675,VARANASI,221001,--None--
00014554_TRAVELGURU,TRAVELGURU,12.597005,78.63803,YELAGIRI,635853,--None--
00014568_TRAVELGURU,TRAVELGURU,22.241652,68.967964,DWARKA,361335,--None--
00014564_TRAVELGURU,TRAVELGURU,30.133722,78.325584,RISHIKESH,249201,--None--
00014572_TRAVELGURU,TRAVELGURU,11.4095745,76.70639,OOTY,643001,--None--
00014560_TRAVELGURU,TRAVELGURU,12.933322,79.14017,VELLORE,632004,--None--
00014582_TRAVELGURU,TRAVELGURU,22.24129,68.97192,DWARKA,361335,--None--
00014548_TRAVELGURU,TRAVELGURU,11.401118,76.702095,OOTY,643001,--None--
00014587_TRAVELGURU,TRAVELGURU,22.241056,68.968956,DWARKA,361335,--None--
00014591_TRAVELGURU,TRAVELGURU,22.242907,68.9653,DWARKA,361335,--None--
00014595_TRAVELGURU,TRAVELGURU,22.297466,70.80226,RAJKOT,360001,--None--
00014608_TRAVELGURU,TRAVELGURU,22.470932,70.06989,JAMNAGAR,361001,--None--
00014600_TRAVELGURU,TRAVELGURU,22.296621,70.798615,RAJKOT,360001,--None--
00014612_TRAVELGURU,TRAVELGURU,22.622503,88.44731,KOLKATA,700157,--None--
00014616_TRAVELGURU,TRAVELGURU,34.162342,77.58263,LEH,194101,--None--
00014623_TRAVELGURU,TRAVELGURU,34.157444,77.58034,LEH,194001,--None--
00014604_TRAVELGURU,TRAVELGURU,22.29894,70.795654,RAJKOT,360001,--None--
00014630_TRAVELGURU,TRAVELGURU,33.778175,76.57617,LEH,194101,--None--
00014634_TRAVELGURU,TRAVELGURU,34.178,77.5815,LEH,194101,--None--
00014577_TRAVELGURU,TRAVELGURU,22.243822,68.97145,DWARKA,361335,--None--
00014640_TRAVELGURU,TRAVELGURU,11.657822,76.20527,WAYANAD,693591,--None--
00014661_TRAVELGURU,TRAVELGURU,12.980889,77.611305,BANGALORE,560042,--None--
00014657_TRAVELGURU,TRAVELGURU,28.489288,77.087715,GURGAON,122002,FAB HOTELS
00014644_TRAVELGURU,TRAVELGURU,9.603739,77.16785,THEKKADY,685509,--None--
00014667_TRAVELGURU,TRAVELGURU,8.393543,76.97819,KOVALAM,695527,--None--
00014672_TRAVELGURU,TRAVELGURU,23.049013,72.59623,AHMEDABAD,410580,--None--
00014677_TRAVELGURU,TRAVELGURU,23.215393,72.648155,GANDHINAGAR,382010,--None--
00014681_TRAVELGURU,TRAVELGURU,22.23944,68.96784,DWARKA,361335,--None--
00014686_TRAVELGURU,TRAVELGURU,8.490017,76.95404,THIRUVANANTHAPURAM,695014,--None--
00014652_TRAVELGURU,TRAVELGURU,9.604851,77.17281,THEKKADY,685509,UP Tourism
00014691_TRAVELGURU,TRAVELGURU,22.192007,69.02017,DWARKA,361335,--None--
00014708_TRAVELGURU,TRAVELGURU,26.858915,88.80397,CHALSA,735206,--None--
00014695_TRAVELGURU,TRAVELGURU,9.462155,77.23685,THEKKADY,685509,UP Tourism
00014750_TRAVELGURU,TRAVELGURU,27.324162,88.61181,GANGTOK,737101,--None--
00014751_TRAVELGURU,TRAVELGURU,22.475643,78.43593,PACHMARHI,461881,--None--
00014699_TRAVELGURU,TRAVELGURU,23.72164,81.017586,BANDHAVGARH,484664,--None--
00014704_TRAVELGURU,TRAVELGURU,9.974308,76.28808,Cochin,682011,--None--
00014756_TRAVELGURU,TRAVELGURU,22.47241,70.069954,JAMNAGAR,361001,--None--
00014757_TRAVELGURU,TRAVELGURU,23.017488,72.593506,AHMEDABAD,380001,--None--
00014758_TRAVELGURU,TRAVELGURU,23.725632,81.022224,BANDHAVGARH,484661,--None--
00014759_TRAVELGURU,TRAVELGURU,32.99124,74.93236,KATRA,182301,--None--
00014763_TRAVELGURU,TRAVELGURU,22.28848,70.81071,RAJKOT,360002,--None--
00014761_TRAVELGURU,TRAVELGURU,22.47343,78.43567,PACHMARHI,461881,--None--
00014765_TRAVELGURU,TRAVELGURU,23.014408,72.56407,AHMEDABAD,380007,--None--
