1323096_CLEARTRIP,CLEARTRIP,12.330636,76.64542,Mysore,570015,OYO,cluster9,OYO Rooms Mysore Highway Circle
1323188_CLEARTRIP,CLEARTRIP,22.916845,76.00322,Indore,455111,Vista Rooms,cluster14,Vista Rooms at Nandan Kanan
1323176_CLEARTRIP,CLEARTRIP,32.246822,77.1808,Manali,175131,NA,cluster12,Hotel Phoenix
1312802_CLEARTRIP,CLEARTRIP,12.831238,77.41225,Bangalore,560100,NA,cluster10,Millennium Plaza
1323060_CLEARTRIP,CLEARTRIP,12.315991,76.65818,Mysore,570001,OYO,cluster9,OYO Rooms Mysore Suburban Bus Stand
1323214_CLEARTRIP,CLEARTRIP,22.30814,73.17509,Vadodara,390007,OYO,cluster14,OYO Rooms Sampatrao Colony Alkapuri
1323218_CLEARTRIP,CLEARTRIP,19.93831,73.53343,Trimbakeshwar,422212,NA,cluster1,Three Leaves Hotel
1323228_CLEARTRIP,CLEARTRIP,10.80737,78.68142,Trichy,620001,OYO,cluster0,OYO Premium Near Cantonment Trichy
1323240_CLEARTRIP,CLEARTRIP,9.916728,78.10597,Madurai,625016,OYO,cluster11,OYO Premium Madurai Junction Railway Station
1323226_CLEARTRIP,CLEARTRIP,15.534346,73.76021,Goa,403516,OYO,cluster6,OYO Rooms Calangute Mall
1323266_CLEARTRIP,CLEARTRIP,20.426043,72.83209,Daman,396210,Vista Rooms,cluster1,Vista Rooms at Narayan Park
1323296_CLEARTRIP,CLEARTRIP,15.576186,73.74685,Goa,403509,NA,cluster6,Sai Residency Anjuna
1323418_CLEARTRIP,CLEARTRIP,13.055514,80.2119,Chennai,600026,Vista Rooms,cluster10,Vista Rooms at Vadapalani
1323454_CLEARTRIP,CLEARTRIP,13.05443,80.260185,Chennai,600002,Vista Rooms,cluster10,Vista Rooms at New College
1323222_CLEARTRIP,CLEARTRIP,19.869577,75.327644,Aurangabad,431005,OYO,cluster1,OYO Rooms Osmanpura
1323470_CLEARTRIP,CLEARTRIP,17.712225,83.300064,Visakhapatnam,530020,OYO,cluster2,OYO Premium Jagadamba Center
1323680_CLEARTRIP,CLEARTRIP,19.872171,75.315056,Aurangabad,431005,Vista Rooms,cluster1,Vista Rooms at Station Road- Aurangabad
1323694_CLEARTRIP,CLEARTRIP,11.001331,76.969986,Coimbatore,641018,Vista Rooms,cluster0,Vista Rooms at Shanthi Theatre
1323496_CLEARTRIP,CLEARTRIP,17.720432,83.31331,Visakhapatnam,530003,OYO,cluster2,OYO Rooms Siripuram Junction
1323702_CLEARTRIP,CLEARTRIP,15.551688,73.76633,Goa,403516,Vista Rooms,cluster6,Vista Rooms at Calangute Circle
1323708_CLEARTRIP,CLEARTRIP,26.939022,75.8374,Jaipur,302002,OYO,cluster4,OYO Rooms Jal Mahal
1323748_CLEARTRIP,CLEARTRIP,15.269063,74.05064,Goa,403708,Vista Rooms,cluster6,Vista Rooms at Colva Beach
